name,cuisine,avg_del_time,avg_price_for_2,offers
Hitech Bawarchi,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Mehfil,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Rice Bowl,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Magnolia Bakery,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Meridian Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Spicy Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Soul Rasa,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Kakatiya Mess,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Nellore Ruchulu,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Subbayya Gari Hotel,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Raju Gari Biryani,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Daspalla Hotel,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shah Ghouse Cafe & Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
California Burrito,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shah Ghouse Hotel & Restaurant,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Vasista's Sri Lakshmi,"Biryani, Chinese, Indian, Kebabs, Tandoor",27 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shree Santosh Family Dhaba,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Lucky Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Sarvi Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
The Spicy Venue,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Srikanya,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Shadab Go,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Kodi Kura Chitti Gaare,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Pista House Bakery & Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Pakwaan Grand,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Telangana Spice Kitchen,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Shah Ghouse Spl Shawarma,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Balaji Santosh Family Dhaba,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Kritunga Restaurant,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Paradise Biryani,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Srikanya Comfort,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Santosh Dhaba,"North Indian, Chinese",29 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Hitech Bawarchi Food Court,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Samskruthi,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
MEGHANA NON VEG PARCEL,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
McDonald's,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Burger King,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Cafe Niloufer Classic,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Pizza Hut,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Taste of Rajasthan,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Cafe Niloufer Premium Lounge,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
KFC,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Leon's - Burgers & Wings (Leon Grill),"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Akson Restaurant,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Green Bawarchi Multicuisine Restaurant,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Bakingo,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Bowl Company,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Bheema's,"Biryani, Hyderabadi, Indian, Tandoor, Mughlai, Chinese, Haleem",29 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Bakingo,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Cream Stone Ice Cream,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Bowl Company,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Bheema's,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
New Minerva Sweets,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Moghuls Paradiez,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Haldiram's Restaurant,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Karachi Bakery,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Sri Raghavendra,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Hitex Santosh Family Dhaba,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Vellanki Foods,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Biryanis And More,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shri Raghavendra Pure Veg,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Fishland Restaurant,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Homely,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Udipi's Upahar,Bakery,25 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Kamat Hotel,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Amantran Bengali Restaurant,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
JDM PUNJABI DHABA,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Indira Darshini,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Istah Shawarma,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
SRI MAHALAXMI REDDY BROTHERS TIFFINS & FAST FOOD,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Dadu's,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Pista House Bakery,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
13 Dhaba,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Pista House Tea,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Milan Juice Centre and Shawarma,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Domino's Pizza,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Dragon's Kitchen,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
GUNTUR GONGOORA,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Sahara Bakers,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Abhiruchi Hotel,"North Indian, South Indian",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Shriji Rasoi,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Onesta,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Santosh Family Dhaba,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Kadupuninda,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Dwaraka Restaurant,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Hotel Sandarshini,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Bheemas Grand,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Biryaniwala,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Gongura Biryanis,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Just parantha,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Punjabi Paratha Junction,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Jaggi De Paranthe,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Punjabi Paratha House,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Chickpet Donne Biryani House,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sri Balaji Rajasthan Food House,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Harley's Fine Baking,"North Indian, Jain",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
T Grill,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Agra Sweets Banjara,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
T's 21 Spice Biryani,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Tibb's Frankie,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
G Pulla Reddy Sweets,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Let's Eat,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Santosh Dhaba Exclusive,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Sri Raghavendra Vegetarian Restaurant,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Meghduth Biryanis,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Anandam,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
NIC Ice Creams,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Norfest- The Dhaba,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Bombay Juice,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Bahar Biryani Cafe,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Rambharose - Bhattad Ki Idli,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
The Gravity Lounge,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem",35 MINS,₹600 FOR TWO,50% off | Use WELCOME50
Suprabhat Tiffins,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Big Byte,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Chutneys,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
RUCHI CURRY POINT,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Delhi Mithai Wala,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Palamuru Grill,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Fruit Bite Natural Juices & Salads,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
1989 Pizza & Thick Shakes,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Savla's Home Food,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Natural Ice Cream,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Happy Healthy Foods,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Subway,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Almond House,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Rayalaseema Ruchulu,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Big Bowl,South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Dunkin',South Indian,34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
SAI RAM MESS,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Nrs Cafe Nandini,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Keshav Reddy Sweets,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sri Vigneshwara Aaha Bhojanam,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sri Raja Rajeswari Fruit Juices & Salads,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Fruitfull,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Kadir Nurman - Bonafide Shawarma,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Masqati Ice Cream,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Wong Side,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
CakeZone,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Chinese Wok,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Green Bawarchi,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Zomoz - The Momo Company,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Ram Ki Bandi,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Udupi dosa house,"Bakery, Desserts, Ice Cream, Beverages",35 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Andhra Rice Boxes,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
O N V FOODS NEW ARITAAKU BHOJANAM,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Royal Spicy Restaurant,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Adam Bakers,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Swiss Castle,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
VASIREDDY HOME FOODS,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Biryanis And More,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
SRI ANDHRA PULAV.COM,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Biryani Junction,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
VEG EXPRESS DHABA,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Punjabi Affair,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
PINK PARADISE,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Scoops,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
EatFit,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Biryani Times,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Sandwich Eatery,Indian,39 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Sandwich Eatery,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Al Kareem Hotel,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
5star Sambar,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
BlueFox,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
A1 hotel,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
CHOP STICKS ,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
HANWIN KERALA CAFE,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Reddy Gari Ruchulu,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
A1 NAAN MAHAL,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Bowls Kitchen,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
The Belgian Waffle Co.,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Madhuram,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Nimantran,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
sheel kamal restaurant,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Feranoz,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Haka,Pastas,30 MINS,₹200 FOR TWO,40% off | Use GUILTFREEJAN
Royal Tiffin Centre,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Country Oven,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
KS Bakers,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Chung Hua Restaurant,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Millet Express,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Wow! Momo,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Hotel Sri Raghavendra Udupi Veg,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Great Indian Khichdi by EatFit,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
The Shawarma House,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Salasar Santosh Dhaba,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Sukha Sagara North Indian & Chinese,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
The Funnel Hill Creamery,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Ohri's Cake Nation,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Sampradaya Foods,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Minerva Coffee Shop,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Cakes Fest,Indian,31 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Cakes Fest,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Zen Bowls,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Faasos - Wraps & Rolls,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Rafi International juice centre,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Kritunga - The Palegar's Cuisine,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
ABHIRUCHI SWAGRUHA FOODS,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Starbucks Coffee,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Desi Kitchen,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
The Thick Shake Factory,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Polar Bear Ice Cream Sundaes,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
HARI DOSA,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Dosa Kodi Kura,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Biggies Burger,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
House Of Pulihora,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Wow! China,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Potful - Claypot Biryanis,"Desserts, Bakery",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
TIFFIN DEPOT,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Third Wave Coffee,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
BANGALORE BAKERS,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Om Sai Ram Tiffins,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
FRIED CHICKEN HUB,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Sai Ram Curries & Parcels,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Supreeth Grand,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Taste Of Hyderabad,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
10 Biryanis,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Andhra Rice Bowl,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Makers of Milkshakes,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Big Bowl Company,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Baklava King,South Indian,33 MINS,₹500 FOR TWO,50% off | Use WELCOME50
